"","Year","OCat","OEff","OUnit","CPUE","CPse","Out","Pos","PFrac","Eff","Units","EFrac","UFrac","Cat","Cse"
"2009",2009,6,814.260158433,33,0.0107845542954236,0.00608069680055323,0,3,0.0909090909090909,17748.876858922,778,0.0458767146172231,0.0424164524421594,130.785302523548,83.6877787172211
"2010",2010,6,1374.142472912,53,0.00496811841906952,0.00220798233318643,0,5,0.0943396226415094,13905.729778794,541,0.0988184363403597,0.0979667282809612,60.7174149096454,46.7445145781181
"2011",2011,133,2515.802302044,81,0.0945044396099317,0.0342911468151381,0,22,0.271604938271605,20127.822728155,872,0.124991278789676,0.0928899082568807,1064.07424012199,41.6676144211714
"2012",2012,33,567.500581086,19,0.081974998643592,0.0445785340801256,0,6,0.315789473684211,17563.883728909,1034,0.0323106546277081,0.0183752417794971,1021.33492435343,84.1982757045745
"2013",2013,215,2326.977877896,82,0.093440003930655,0.0238729185712567,0,31,0.378048780487805,20843.818298861,810,0.111638752772238,0.101234567901235,1925.8545501546,52.5428639819927
"2014",2014,6,870.24780481,27,0.00597525192048328,0.00267753817138295,0,5,0.185185185185185,23538.511218105,799,0.0369712339385609,0.0337922403003755,162.288335032876,82.585087895533
"2015",2015,2,773.706715838,26,0.0051657964468879,0.00455964125685915,0,2,0.0769230769230769,26740.848463486,729,0.0289335140915397,0.0356652949245542,69.1239921176671,108.446163259985
"2016",2016,31,1956.595724203,55,0.0153286256962213,0.00415409426706669,0,13,0.236363636363636,28397.020238498,805,0.068901444861825,0.0683229813664596,449.9179960909,59.04991506399
"2017",2017,2,526.54356142,14,0.00241260358105775,0.00241260358105775,0,1,0.0714285714285714,27410.425161279,740,0.0192096094213021,0.0189189189189189,104.114558299251,107.079635355014
"2018",2018,3,159.4483336,4,0.0140038414467751,0.0140038414467751,0,1,0.25,24203.958163081,686,0.00658769662902538,0.00583090379008746,455.39437665997,162.483056040029
